category,items,orders,revenue,freight,avg_item_price,avg_freight,avg_review_score,contribution_proxy,margin_proxy,freight_ratio,revenue_per_order_containing_category
books_imported,60,53,4639.85,769.85,77.33083333333335,12.830833333333334,77.33083333333335,3870.0000000000005,0.8340786878886172,0.1659213121113829,87.54433962264152
party_supplies,43,39,4485.18,827.97,104.30651162790699,19.255116279069767,104.30651162790699,3657.21,0.8153987130951266,0.18460128690487337,115.00461538461539
furniture_mattress_and_upholstery,38,38,4368.08,1630.46,114.94947368421053,42.90684210526316,114.94947368421053,2737.62,0.6267330268676398,0.37326697313236024,114.94947368421053
portateis_cozinha_e_preparadores_de_alimentos,15,14,3968.5299999999997,309.76,264.5686666666667,20.650666666666666,264.5686666666667,3658.7699999999995,0.9219459094425391,0.07805409055746082,283.46642857142854
fashio_female_clothing,48,39,2803.64,621.75,58.409166666666664,12.953125,58.409166666666664,2181.89,0.7782347234309683,0.2217652765690317,71.88820512820513
fashion_sport,30,27,2119.51,578.13,70.65033333333334,19.271,70.65033333333334,1541.38,0.7272341248684837,0.27276587513151623,78.50037037037038
la_cuisine,14,13,2054.99,333.55,146.785,23.825,146.785,1721.4399999999998,0.8376877746363729,0.1623122253636271,158.07615384615383
arts_and_craftmanship,24,23,1814.01,370.13,75.58375,15.422083333333333,75.58375,1443.88,0.7959603309794324,0.2040396690205677,78.87
diapers_and_hygiene,39,27,1567.59,573.68,40.19461538461538,14.709743589743589,40.19461538461538,993.91,0.6340369611952105,0.36596303880478953,58.05888888888889
pc_gamer,9,8,1545.95,133.57,171.77222222222224,14.841111111111111,171.77222222222224,1412.38,0.9136000517481161,0.08639994825188395,193.24375
flowers,33,29,1110.04,488.87,33.63757575757575,14.814242424242424,33.63757575757575,621.17,0.5595924471190227,0.44040755288097727,38.27724137931035
home_comfort_2,30,24,760.27,410.31,25.342333333333332,13.677,25.342333333333332,349.96,0.4603101529719705,0.5396898470280296,31.677916666666665
cds_dvds_musicals,14,12,730.0,224.98999999999998,52.142857142857146,16.070714285714285,52.142857142857146,505.01,0.6917945205479452,0.3082054794520548,60.833333333333336
fashion_childrens_clothes,8,8,569.85,95.51,71.23125,11.93875,71.23125,474.34000000000003,0.8323944897780118,0.16760551022198825,71.23125
security_and_services,2,2,283.28999999999996,41.22,141.64499999999998,20.61,141.64499999999998,242.06999999999996,0.8544953934131102,0.14550460658688977,141.64499999999998
